x,y,Pass,Range,Sample,Section,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DI,R4.DS,R4.DX,R5.DI,R5.DS,R5.DX,R6.DI,R6.DS,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,PreSCN.eggsjuvs,PreSCN.total,Pre.spiral,Pre.lesion,Pre.dagger,PostSCN.cysts,PostSCN.eggs,PostSCN.juvs,PostSCN.eggsjuvs,PostSCN.total,Post.spiral,Post.lesion,Pre.DNA,Pre.qPCR,Pre.ratio,V3.qPCR,R5.qPCR,Post.qPCR,Post.DNA,Post.ratio,V3.Phi2,V3.PhiNPQ,V3.PhiNO,V3.SPAD,V3.NPQt,V3.LEF,V3.qL,R1.Phi2,R1.PhiNPQ,R1.PhiNO,R1.SPAD,R1.NPQt,R1.LEF,R1.qL,Yield
0.381,1.524,1,1,1,SW,0.63,4.41,0,15,1.33,3.33,0,0,0,5,1.5,0.83,50,3,16.67,14,1140,200,1340,1354,4,0,0,15,3000,640,3640,3655,8,0,65.42666667,463.4379018,3.54E-06,7.581370354,6.810875893,562.6292877,74.54,3.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.381,4.572,1,1,2,SW,0.75,4.76,0,5,0.33,10,0,0,0,1,1,0.11,40,2.5,11.11,21,1600,240,1840,1861,0,0,0,29,1880,440,2320,2349,16,0,64.13,535.5161387,4.18E-06,6.418916702,7.352016449,520.4681193,82.28333333,3.16E-06,0.002470602,0.045563533,-0.048733914,1.18,0.330228431,1.396465746,0.034111417,0.019521098,0.004123172,-0.02560733,2.283333333,0.183489623,-1.597597168,0.0841102,
0.381,7.62,1,2,3,SW,0.6,8.07,0,26.67,0,0,0,0,0,0,0,0,20,1.5,3.33,12,860,60,920,932,8,0,0,13,1200,200,1400,1413,4,0,69.20666667,617.5083974,4.46E-06,8.20893383,6.761855125,424.4981689,88.04333333,2.41E-06,0.011100132,0.0226425,-0.033494411,1.08,0.202794302,7.387839444,0.025644221,0.017829849,-0.034700248,0.01385325,2.233333333,-0.24526049,2.415962851,0.00821177,
0.381,10.668,1,2,4,SW,0.77,6.48,0,11.67,0,0,0,0,0,0,0,0,15,1.5,2.5,12,860,100,960,972,8,20,0,13,1120,320,1440,1453,16,0,79.45666667,940.6537272,5.92E-06,9.995099068,7.348675728,296.8397726,100.3266667,1.48E-06,0.013521169,-0.021567302,0.006813015,3.64,-0.118472839,7.958359049,0.009787939,0.021033456,-0.02572916,0.003028531,0.516666667,-0.147047734,-0.015236447,0.039306056,
0.381,13.716,1,3,5,SW,0.79,3.78,0,5,0.33,16.67,0,0,0,0,0,0,30,2,6.67,13,820,100,920,933,0,8,0,7,560,100,660,667,8,0,55.47666667,589.7133535,5.31E-06,10.80258369,6.701753616,230.2690735,97.66,1.18E-06,0.013568362,0.012303059,-0.026854365,3.32,0.139612842,7.426267451,0.033803474,0.040597662,-0.069337743,0.024371314,1.716666667,-0.400891634,4.920469046,0.041003844,
0.381,16.764,1,3,6,SW,0.63,5.68,0,5,0,13.33,0,0,0,0,0,0,10,3,3.33,5,320,20,340,345,24,0,0,8,840,80,920,928,12,0,57.2,409.1676941,3.58E-06,14.20530796,5.067345619,202.3499934,102.4833333,9.87E-07,0.021746463,-0.020966196,0.000588872,4.18,-0.044588039,14.33296243,0.004216617,-0.006960294,0.002229644,0.001543526,-0.366666667,-0.064265199,-2.974851077,0.009376322,
0.381,19.812,1,4,7,SW,0.93,5.45,0,23.33,0.5,16.67,0,0,0,5,1.5,0.83,25,1.5,4.17,18,1280,240,1520,1538,16,0,0,33,1240,200,1440,1473,4,0,76,613.6427917,4.04E-06,5.170999527,7.381095886,215.2319133,101.6466667,1.06E-06,0.031687702,-0.018372114,-0.01424861,1.08,0.004654059,21.65456435,0.032850887,-0.00419994,0.030892862,-0.028137723,2.35,0.220514507,-2.843555674,0.038331168,
0.381,22.86,1,4,8,SW,0.91,3.06,0,25,2.33,13.33,20,1,2.22,75,3,25,70,4.5,35,42,3200,480,3680,3722,24,16,0,22,1680,280,1960,1982,20,0,61.47,797.930186,6.49E-06,4.257727623,6.317368507,123.1233788,109.59,5.62E-07,-0.001708716,-0.059130504,0.058095598,1.84,-0.315687834,-5.011275009,-0.010181206,-0.045525927,0.072348186,-0.028799458,-2.133333333,0.461457011,-14.36879703,0.005525951,
0.381,25.908,1,5,9,NW,0.69,5.74,0,15,0,5,5,1,0.56,5,1,0.56,10,2,2.22,27,2080,400,2480,2507,24,8,0,7,680,80,760,767,32,0,59.29666667,517.4919027,4.36E-06,3.104709625,5.427129745,416.266154,59.45666667,3.50E-06,0.029580437,-0.057305701,0.027288326,2.42,-0.255329348,20.68349406,0.004901982,-0.010573375,0.043675856,-0.034142654,-1.95,0.36273867,-6.360157349,0.037969718,
0.381,28.956,1,5,10,NW,0.55,4.97,0,11.67,0,3.33,0,0,0,0,0,0,30,1.5,5,13,880,140,1020,1033,0,24,0,51,2000,480,2480,2531,52,4,72.64333333,356.2220001,2.45E-06,3.608181953,5.803576469,483.2490896,59.14333333,4.09E-06,0.032104694,-0.028642985,-0.004273453,5.94,-0.082693796,16.91605292,0.019338025,0.013196815,-0.020965453,0.005632601,-2.433333333,-0.158426505,1.179009905,0.011874744,
