Year,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DX,R5.DX,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,Pre.spiral,Pre.ratio,V3.qPCR,R5.qPCR
2015,0.63,4.41,0,15,1.33,3.33,0,0.83,16.67,14,1140,200,4,0.00000354,7.581370354,6.810875893
2015,0.75,4.76,0,5,0.33,10,0,0.11,11.11,21,1600,240,0,0.00000418,6.418916702,7.352016449
2015,0.6,8.07,0,26.67,0,0,0,0,3.33,12,860,60,8,0.00000446,8.20893383,6.761855125
2015,0.77,6.48,0,11.67,0,0,0,0,2.5,12,860,100,8,0.00000592,9.995099068,7.348675728
2015,0.79,3.78,0,5,0.33,16.67,0,0,6.67,13,820,100,0,0.00000531,10.80258369,6.701753616
2015,0.63,5.68,0,5,0,13.33,0,0,3.33,5,320,20,24,0.00000358,14.20530796,5.067345619
2015,0.93,5.45,0,23.33,0.5,16.67,0,0.83,4.17,18,1280,240,16,0.00000404,5.170999527,7.381095886
2015,0.91,3.06,0,25,2.33,13.33,2.22,25,35,42,3200,480,24,0.00000649,4.257727623,6.317368507
2015,0.69,5.74,0,15,0,5,0.56,0.56,2.22,27,2080,400,24,0.00000436,3.104709625,5.427129745
2015,0.55,4.97,0,11.67,0,3.33,0,0,5,13,880,140,0,0.00000245,3.608181953,5.803576469
2015,0.74,6.77,0,6.67,0,0,0,0,0.56,5,340,60,16,0.00000283,11.70294189,4.971507072
2015,0.53,4.66,0,5,0,23.33,0,0,0,5,380,80,0,0.00000448,6.802645683,5.580611229
2015,0.16,7.91,0,36.67,0,0,0,0,0,4,330,60,8,0.00000323,7.567399025,5.396100998
2015,0.57,7.19,0,15,0,0,0,0,0.56,10,340,140,20,0.00000306,7.529100418,4.73509407
2015,0.7,4.83,0,30,0,0,0,0,0.28,8,520,100,0,0.00000286,6.85306263,5.085308075
2015,0.36,2.42,0,50,0,70,1.11,4.44,28.89,14,840,180,0,0.00000192,10.2206049,4.701868057
2015,0.56,2.99,0,21.67,0.83,26.67,0,3.33,9.72,20,920,280,24,0.00000475,3.370682716,7.400432587
2015,0.66,4.34,0,18.33,0.83,8.33,0,2.5,8.89,26,1320,480,0,0.00000571,9.273563385,6.811618805
2015,0.4,7.48,0,25,0,0,0,0.56,6.67,20,1000,440,12,0.00000431,7.767342567,6.439539909
2015,0.48,4.17,0,21.67,1.67,26.67,0,3.33,16.67,32,2640,280,24,0.00000446,6.611578941,6.625335693
2015,0.52,5.74,0,20,0,0,2.22,2.5,28.89,16,1120,200,24,0.00000663,11.98032761,6.092155457
2015,0.55,3.06,0,21.67,1.67,36.67,8.89,13.89,20,27,1960,440,4,0.00000566,4.608291626,6.610771179
2015,0.48,4.62,0,43.33,0.67,23.33,1.11,6.67,18.33,48,4400,240,20,0.00000368,7.509467125,6.086244583
2015,0.39,3.02,0,45,1.33,50,1.67,8.89,19.44,27,2040,400,20,0.000005,9.690189362,6.906337738
2015,0.56,4.22,0,36.67,0,10,0,8.33,20,49,4320,720,28,0.00000423,3.955962181,5.092143059
2015,0.7,4.72,0,16.67,0,10,1.11,8.89,11.11,14,860,180,56,0.00000331,4.471894264,4.593111038
2015,0.74,1.76,0,60,0,26.67,0.56,16.67,27.22,22,1600,280,4,0.00000344,4.362044334,5.334705353
2015,0.62,4.85,0,5,0,6.67,0,0.56,6.67,10,780,60,8,0.00000249,9.662754059,3.731695175
2015,0.6,8.51,0,15,0,0,0,0,0.56,12,1400,200,32,0.00000395,2.495875359,4.607056618
2015,0.66,4.62,0,8.33,0,0,0,0.56,4.17,14,1120,160,8,0.0000018,2.765809059,4.284644127
2015,0.51,3.65,0,43.33,0,6.67,0,0,8.33,7,620,40,8,0.00000263,1.239979744,6.025292397
2015,0.49,2.43,0,21.67,1.17,43.33,1.11,6.67,23.33,12,980,120,4,0.00000214,6.280446053,5.5522089
2015,0.52,3.55,0,33.33,1.33,38.33,1.11,8.33,37.78,16,880,240,8,0.00000568,2.716776848,6.77560997
2015,0.54,4.1,0,5,2.17,26.67,2.22,13.33,47.22,22,1560,240,24,0.00000399,3.311353683,7.733547211
2015,0.59,2.57,0,33.33,0,20,1.67,11.11,18.06,24,1440,160,0,0.00000467,4.414719582,5.130249023
2015,0.57,5.48,0,26.67,0,0,1.11,11.11,41.67,27,1720,280,48,0.00000515,3.737772942,5.288994789
2015,0.67,3.39,0,40,2,30,20.83,16.67,29.17,13,940,180,16,0.00000657,4.451729774,6.512093544
