Year,Yield,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DX,R5.DX,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,Pre.spiral,Pre.ratio,V3.qPCR,R5.qPCR
2015,36.53939641,0.69,4.585,0,10,0.83,6.665,0,0.47,13.89,17.5,1370,220,2,0.00000386,7.000143528,7.081446171
2015,41.95251917,0.685,7.275,0,19.17,0,0,0,0,2.915,12,860,80,8,0.00000519,9.102016449,7.055265427
2015,40.80439488,0.71,4.73,0,5,0.165,15,0,0,5,9,570,60,12,0.000004445,12.50394583,5.884549618
2015,28.16477541,0.92,4.255,0,24.165,1.415,15,1.11,12.915,19.585,30,2240,360,20,0.000005265,4.714363575,6.849232197
2015,35.38440552,0.62,5.355,0,13.335,0,4.165,0.28,0.28,3.61,20,1480,270,12,0.000003405,3.356445789,5.615353107
2015,38.86973959,0.635,5.715,0,5.835,0,11.665,0,0,0.28,5,360,70,8,0.000003655,9.252793787,5.276059151
2015,42.20700303,0.365,7.55,0,25.835,0,0,0,0,0.28,7,335,100,14,0.000003145,7.548249722,5.065597534
2015,20.75819255,0.53,3.625,0,40,0,35,0.555,2.22,14.585,11,680,140,0,0.00000239,8.536833765,4.893588066
2015,34.02519046,0.61,3.665,0,20,0.83,17.5,0,2.915,9.305,23,1120,380,12,0.00000523,6.322123051,7.106025696
2015,39.75220272,0.44,5.825,0,23.335,0.835,13.335,0,1.945,11.67,26,1820,360,18,0.000004385,7.189460754,6.532437801
2015,32.43233931,0.535,4.4,0,20.835,0.835,18.335,5.555,8.195,24.445,21.5,1540,320,14,0.000006145,8.294309618,6.351463318
2015,28.38561293,0.435,3.82,0,44.165,1,36.665,1.39,7.78,18.885,37.5,3220,320,20,0.00000434,8.599828244,6.496291161
2015,32.26020698,0.63,4.47,0,26.67,0,10,0.555,8.61,15.555,31.5,2590,450,42,0.00000377,4.213928223,4.842627049
2015,36.58492579,0.68,3.305,0,32.5,0,16.67,0.28,8.615,16.945,16,1190,170,6,0.000002965,7.012399197,4.533200264
2015,38.3636997,0.63,6.565,0,11.665,0,0,0,0.28,2.365,13,1260,180,20,0.000002875,2.630842209,4.445850373
2015,21.30061588,0.5,3.04,0,32.5,0.585,25,0.555,3.335,15.83,9.5,800,80,6,0.000002385,3.760212899,5.788750649
2015,22.96935251,0.53,3.825,0,19.165,1.75,32.5,1.665,10.83,42.5,19,1220,240,16,0.000004835,3.014065266,7.254578591
2015,24.53119905,0.58,4.025,0,30,0,10,1.39,11.11,29.865,25.5,1580,220,24,0.00000491,4.076246262,5.209621906
2015,26.79949486,0.555,3.035,0,38.335,1,20.835,12.915,13.335,27.92,14.5,1290,270,8,0.000005705,4.560132027,6.018022537
2015,31.15815567,0.44,4.105,2.415,56.67,0.33,30.83,8.61,8.615,20.555,37.5,3560,420,54,0.000004025,7.458741188,5.423130512
2015,32.12808213,0.595,3.345,0,25.83,0.165,36.665,1.945,13.47,20,20.5,1820,320,28,0.00000527,3.027339935,4.677918911
2015,35.66512552,0.675,5.54,0,18.33,0.085,6.665,1.665,14.165,21.11,16,1040,150,18,0.000002845,2.487174034,3.397945881
2015,32.3217012,0.705,4.315,0,19.17,0,10,0.28,0.28,2.22,15.5,1300,270,34,0.00000365,0.826809883,3.093251229
2015,25.12969963,0.615,2.67,0,35,0.25,41.67,0.28,2.085,6.39,9,560,110,8,0.00000214,5.444845677,3.022458553
2015,11.56556863,0.785,2.37,0.585,40.835,0.835,58.335,30,39.58,66.665,47.5,4920,800,4,0.000005085,4.053501129,5.658339024
2015,15.53911803,0.48,3.2,0.165,28.335,2,39.17,19.445,30,48.89,30.5,2840,600,18,0.000005985,3.27328682,6.122245312
2015,15.25532713,0.48,2.895,0.835,60,1.835,46.67,28.055,28.47,26.945,30,3600,340,26,0.000006535,6.718419552,5.219596863
2015,29.98510179,0.555,3.415,0,42.5,1.085,67.5,10.555,8.61,11.67,51,5780,840,16,0.000004945,4.983965397,4.927604199
2015,29.49395862,0.69,3.99,0.5,34.165,1.165,28.335,3.75,16.67,26.67,30.5,3220,560,40,0.0000053,3.546549797,3.582458019
2015,28.7741481,0.565,5.15,0,38.33,1.165,20.835,7.78,6.945,14.03,38,3060,520,30,0.00000362,4.024523258,3.720459461
2015,32.81381714,0.66,4.59,0,40,0.585,44.165,0.835,3.615,25.14,18.5,1680,180,16,0.0000033,3.164134503,4.189573288
2015,28.1227747,0.765,3.745,0,25.835,0.335,11.665,0.28,1.11,6.665,11.5,1040,130,24,0.0000021,2.202026844,3.661512375
2015,24.68239779,0.53,2.325,0.415,38.335,0.915,58.33,14.445,22.775,27.78,30.5,3160,380,10,0.00000548,3.515670777,4.090754509
2015,27.30606881,0.565,2.535,0.415,38.335,1,44.165,5.835,20.415,42.5,34.5,3620,440,14,0.000006455,4.228210449,6.68880415
2015,23.61243831,0.675,3.33,0,32.5,1.67,51.67,8.33,19.445,31.11,40.5,3680,720,12,0.000006355,4.713999749,7.190220356
2015,31.68135251,0.62,3.49,0.165,39.17,0.165,31.665,8.61,2.78,12.36,30,2980,480,10,0.000005895,3.922890186,6.159462452
2015,30.42091161,0.665,3.59,0,16.67,0.5,29.165,1.945,10.28,20.555,23,2180,380,26,0.000004815,3.702544689,6.180714131
